run_id,repeat_index,run_order,scenario_id,prompt_profile,request_count,max_new_tokens,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,total_prompt_tokens,estimated_peak_sequence_tokens,batch_wall_ms,total_output_tokens,aggregate_output_tokens_per_second,p50_first_chunk_ms,p95_first_chunk_ms,p50_latency_ms,p95_latency_ms,p50_stream_tpot_ms,p95_stream_tpot_ms
rep02-run022,2,22,long_out16_n4,long,4,16,117,118,117.25,469,533,350.55449599997246,64,182.5679052195212,64.13410900000827,65.62359800000195,348.5935989999973,350.27901199998723,18.91247086666681,20.30074966666575
rep00-run023,0,23,long_out16_n4,long,4,16,117,118,117.25,469,533,355.57887799998866,64,179.9881937869269,63.89288799999804,65.52195200001165,353.40600000000677,355.2851240000052,19.25229113333368,20.583325466666718
rep01-run024,1,24,short_out32_n2,short,2,32,43,44,43.5,87,151,671.274770999986,64,95.34098816891382,45.83544299998721,64.85414000002265,670.2589740000064,671.0486030000027,19.529188193547864,20.168166451613402
rep02-run025,2,25,long_out32_n2,long,2,32,117,118,117.5,235,299,671.820165000014,64,95.26358888021569,45.060134999999946,63.56628000000342,670.6039240000052,671.6119579999997,19.581859483871025,20.21134912903225
rep02-run026,2,26,short_out32_n8,short,8,32,43,48,45.25,362,618,682.0627719999948,256,375.33202295932074,65.11987099997896,67.09436299999538,679.4591539999999,681.6730200000052,19.80176822580633,20.440807096774037
rep00-run027,0,27,long_out32_n4,long,4,32,117,118,117.25,469,597,683.0333830000086,128,187.39933242764855,64.16015399997832,65.66762599999265,680.9727000000123,682.7463690000002,19.872819225806523,20.532879806451422
rep01-run028,1,28,long_out32_n2,long,2,32,117,118,117.5,235,299,678.2767180000064,64,94.35676959208173,46.04618600001231,66.43543600000612,676.9267839999884,678.0593269999997,19.69326929032201,20.387520677418948
rep00-run029,0,29,short_out32_n2,short,2,32,43,44,43.5,87,151,676.1410959999807,64,94.65479968400238,44.020426999992424,63.00171899999896,675.1431159999868,675.9243989999959,19.74649667741896,20.383999096774307
rep00-run030,0,30,long_out16_n2,long,2,16,117,118,117.5,235,267,349.19017200002145,32,91.64060894588418,45.531400000015765,64.67245499999308,347.9812789999812,348.97010400001705,18.887254933332542,20.229246933333418
rep00-run031,0,31,short_out16_n1,short,1,16,44,44,44.0,44,60,320.5210370000202,16,49.91872031163743,41.89247000002183,41.89247000002183,320.3324010000017,320.3324010000017,18.562662066665325,18.562662066665325
rep02-run032,2,32,long_out32_n4,long,4,32,117,118,117.25,469,597,685.0645530000179,128,186.8437060996158,63.55240600001366,65.2992690000076,682.6994129999946,684.7831510000049,19.94749406451631,20.596990580644974
rep01-run033,1,33,long_out16_n1,long,1,16,118,118,118.0,118,134,319.4318750000207,16,50.088927412140585,41.5909470000031,41.5909470000031,319.2544129999817,319.2544129999817,18.510897733331905,18.510897733331905
rep00-run034,0,34,short_out32_n8,short,8,32,43,48,45.25,362,618,683.0107950000013,256,374.8110599042575,66.14888600000768,68.12359799999967,680.372387999995,682.6379739999879,19.798540838709663,20.48572503225761
rep02-run035,2,35,short_out32_n1,short,1,32,44,44,44.0,44,76,634.545533999983,32,50.42979311237396,41.50119499999505,41.50119499999505,634.3604629999788,634.3604629999788,19.12449251612851,19.12449251612851
rep02-run036,2,36,short_out32_n4,short,4,32,43,44,43.25,173,301,668.1525340000007,128,191.57302185731118,64.27063399999611,65.27816100000905,666.5655319999928,667.8756080000028,19.413826451612646,20.063331387096042
rep01-run037,1,37,long_out16_n8,long,8,16,117,122,119.25,954,1082,351.1389839999879,128,364.528024037355,64.14805600002182,66.94355899998072,347.6915429999963,350.7773929999871,18.857014666667737,20.227767466665608
rep01-run038,1,38,short_out32_n1,short,1,32,44,44,44.0,44,76,627.6334989999839,32,50.98516897359046,40.82783999999151,40.82783999999151,627.3044069999969,627.3044069999969,18.918598935484045,18.918598935484045
rep01-run039,1,39,long_out32_n1,long,1,32,118,118,118.0,118,150,638.7654060000045,32,50.096639078165374,43.60722399999872,43.60722399999872,638.5891479999941,638.5891479999941,19.19296529032243,19.19296529032243
rep00-run040,0,40,short_out32_n1,short,1,32,44,44,44.0,44,76,624.1137199999969,32,51.27270715984286,42.110680000007505,42.110680000007505,623.9420859999996,623.9420859999996,18.768755032257808,18.768755032257808
rep00-run041,0,41,long_out32_n2,long,2,32,117,118,117.5,235,299,664.7001169999953,64,96.2840209639988,44.645916000007446,63.57294500000421,663.4712080000043,664.4838290000052,19.351556870967745,19.9947713870967
rep01-run042,1,42,long_out16_n2,long,2,16,117,118,117.5,235,267,343.0699630000049,32,93.27543490013885,44.311577999991414,63.378994999993665,341.8773660000056,342.85875899999496,18.566558066667465,19.903145400000238
rep01-run043,1,43,short_out16_n2,short,2,16,43,44,43.5,87,119,342.59797400000025,32,93.4039382264414,44.25621699999738,63.94300899998484,341.5700349999895,342.3318300000062,18.50846840000031,19.87170753333392
rep01-run044,1,44,long_out32_n8,long,8,32,117,122,119.25,954,1210,680.2079649999939,256,376.3554871045979,63.35962900001846,66.10280999998963,676.8069719999801,679.8180950000017,19.766533677419087,20.426392999999894
rep02-run045,2,45,short_out16_n4,short,4,16,43,44,43.25,173,237,346.6021749999868,64,184.649735680402,63.392482000011796,64.38227399999619,345.0611590000108,346.3272540000162,18.746389666667557,20.092447466667334
rep00-run046,0,46,short_out16_n4,short,4,16,43,44,43.25,173,237,346.88218799999504,64,184.5006812514712,66.54791299999374,67.6048020000053,345.2930550000133,346.6137180000146,18.550418000000946,20.06437180000186
rep00-run047,0,47,short_out32_n4,short,4,32,43,44,43.25,173,301,669.8165759999881,128,191.09709222842864,64.198733000012,65.19509800000378,668.288925000013,669.548103000011,19.471997741935674,20.124542225806678
